Time(s),Temperature(°C),(mg)
914,85.300000,-0.000362582
915,85.500000,-0.000439951
916,85.700000,-0.000544437
917,85.900000,-0.000616581
918,86.000000,-0.000653034
919,86.200000,-0.000664471
920,86.400000,-0.000699862
921,86.600000,-0.000749803
922,86.700000,-0.000806558
923,86.900000,-0.000859875
924,87.100000,-0.000920162
925,87.300000,-0.000953713
926,87.400000,-0.000946461
927,87.600000,-0.000877509
928,87.800000,-0.000747467
929,88.000000,-0.000551508
930,88.100000,-0.000321226
931,88.300000,-0.000113057
932,88.500000,-1.16608e-05
933,88.600000,7.58128e-06
934,88.800000,-3.65757e-05
935,89.000000,-0.000116257
936,89.100000,-0.000209567
937,89.300000,-0.000319797
938,89.500000,-0.000419225
939,89.600000,-0.000463434
940,89.800000,-0.000467706
941,90.000000,-0.000442605
942,90.100000,-0.000402427
943,90.300000,-0.000293707
944,90.500000,-0.000189771
945,90.600000,-8.86279e-05
946,90.800000,2.91671e-05
947,91.000000,0.000102701
948,91.100000,0.000151127
949,91.300000,0.000160162
950,91.500000,0.000174446
951,91.600000,0.000207093
952,91.800000,0.000222941
953,92.000000,0.00020259
954,92.100000,0.000189297
955,92.300000,0.000139404
956,92.500000,0.00015302
957,92.700000,0.000202333
958,92.800000,0.000252345
959,93.000000,0.000187113
960,93.200000,8.21673e-06
961,93.300000,-0.000269856
962,93.500000,-0.000512544
963,93.700000,-0.000683167
964,93.900000,-0.00074573
965,94.000000,-0.00072563
966,94.200000,-0.000640933
967,94.400000,-0.000540039
968,94.500000,-0.000450203
969,94.700000,-0.000394311
970,94.900000,-0.000328785
971,95.100000,-0.000215343
972,95.200000,-8.77454e-05
973,95.400000,2.62749e-05
974,95.600000,0.00011158
975,95.800000,0.000146307
976,95.900000,0.000195753
977,96.100000,0.000230027
978,96.300000,0.00023461
979,96.400000,0.00021096
980,96.600000,0.000124077
981,96.800000,-8.96048e-05
982,96.900000,-0.000386201
983,97.100000,-0.000748033
984,97.300000,-0.00104084
985,97.500000,-0.00128026
986,97.700000,-0.00147786
987,97.800000,-0.00161287
988,98.000000,-0.00172593
989,98.200000,-0.0018611
